id,email,display_name,role,created_at,updated_at
04d58a68-23bc-4b3a-9f53-f1d4b9370362,test1@ckdapp.com,,patient,2026-06-11 17:05:34.473225+00,2026-06-11 17:05:34.473225+00
06a6d287-e542-46ba-b5f5-94bede3057a9,test_rls_893433@example.com,,patient,2026-06-09 17:36:02.867209+00,2026-06-09 17:36:02.867209+00
14a46b39-4c23-4f7c-9acd-9fe9e8a6847a,test_user_292975@example.com,,patient,2026-06-09 15:56:35.004238+00,2026-06-09 15:56:35.004238+00
1cbf746a-e014-423f-9c73-4c4ac76b1854,sim_user_2_1781198478631@ckdtest.com,,patient,2026-06-11 17:21:20.625997+00,2026-06-11 17:21:20.625997+00
1f74c5d0-3628-47cf-9efc-92bd61698fc1,test_rls_923542@example.com,,patient,2026-06-09 18:10:45.633807+00,2026-06-09 18:10:45.633807+00
20bf5993-a9a3-4e48-b236-fba3c3428a7a,sim_user_4_1781200689950@ckdtest.com,,patient,2026-06-11 17:58:14.120514+00,2026-06-11 17:58:14.120514+00
223ca7df-7fc6-4b2e-a1c7-0829400ef83a,test_rls_218056@example.com,,patient,2026-06-09 18:35:55.300296+00,2026-06-09 18:35:55.300296+00
23fea703-037f-4228-af9f-2f3e08fbc8c3,sim_user_1_1781200689950@ckdtest.com,,patient,2026-06-11 17:58:10.04475+00,2026-06-11 17:58:10.04475+00
28ab2f30-b97e-4736-8646-5f8e47f3eed1,test_rls_465459@example.com,,patient,2026-06-09 17:25:15.403143+00,2026-06-09 17:25:15.403143+00
2a23a4c5-ca8b-4445-8d0a-c2e31c25bc30,sim_user_2_1781199052615@ckdtest.com,,patient,2026-06-11 17:30:54.66829+00,2026-06-11 17:30:54.66829+00
39eb0527-2cc9-47d2-a98d-b62fd2f2bd77,test_rls_560485@example.com,,patient,2026-06-09 17:14:46.871486+00,2026-06-09 17:14:46.871486+00
3c456c25-24c0-4725-8a21-04d9f1e10769,sim_user_4_1781198478631@ckdtest.com,,patient,2026-06-11 17:21:22.998221+00,2026-06-11 17:21:22.998221+00
590cf042-6469-4d2e-9833-91a0dba53b5b,test_rls_780764@example.com,,patient,2026-06-09 16:02:54.159412+00,2026-06-09 16:02:54.159412+00
5e9d7544-2e15-46e5-bdab-321b52eaeb44,test_rls_168183@example.com,,patient,2026-06-09 16:02:55.493072+00,2026-06-09 16:02:55.493072+00
6368cab4-be28-4c76-8008-06a149f97df9,test_user_954436@example.com,,patient,2026-06-09 15:56:34.377265+00,2026-06-09 15:56:34.377265+00
69518a41-9825-4bac-9aff-53ed54a6ec0a,test_rls_129036@example.com,,patient,2026-06-11 17:17:37.983377+00,2026-06-11 17:17:37.983377+00
73b38080-7774-4143-a514-f3a04e1555aa,test_rls_805136@example.com,,patient,2026-06-09 17:25:16.631899+00,2026-06-09 17:25:16.631899+00
7b00ddde-35ca-45ce-87cc-7cb8e6974c8f,sim_user_5_1781200689950@ckdtest.com,,patient,2026-06-11 17:58:15.30467+00,2026-06-11 17:58:15.30467+00
7b0a082b-e1dd-486c-ab37-10df92e7448c,user0001@test.com,,patient,2026-06-02 15:59:25.06987+00,2026-06-02 15:59:25.06987+00
83872eb3-713b-4dcd-8568-bb91f3f236d0,test_rls_75252@example.com,,patient,2026-06-11 17:20:21.415031+00,2026-06-11 17:20:21.415031+00
8be8d2dd-53b9-4a50-a913-e7bd56d6180b,sim_user_3_1781200689950@ckdtest.com,,patient,2026-06-11 17:58:12.931539+00,2026-06-11 17:58:12.931539+00
8c4532cf-5fb3-4cdc-8c29-683ff81d4bc8,test_rls_943423@example.com,,patient,2026-06-09 16:41:13.184004+00,2026-06-09 16:41:13.184004+00
8c6b78ee-0652-45bf-8025-e84db5563fa4,test_rls_529805@example.com,,patient,2026-06-11 17:17:36.951889+00,2026-06-11 17:17:36.951889+00
9175187a-f969-46cd-bd44-799e48051a6f,test_rls_211204@example.com,,patient,2026-06-09 18:10:44.397075+00,2026-06-09 18:10:44.397075+00
926430af-8c7c-4e8f-b8b5-3b168292878a,sim_user_5_1781199052615@ckdtest.com,,patient,2026-06-11 17:30:58.374524+00,2026-06-11 17:30:58.374524+00
96b930d7-d89c-43f8-b6bc-13eebfa58165,sim_user_5_1781198478631@ckdtest.com,,patient,2026-06-11 17:21:24.193596+00,2026-06-11 17:21:24.193596+00
97b8ef4d-c47f-4ec3-808b-944769aa8b09,test_rls_703693@example.com,,patient,2026-06-09 17:36:01.862418+00,2026-06-09 17:36:01.862418+00
a182cf58-b4b8-433f-9153-d930b10a44bd,test_rls_264924@example.com,,patient,2026-06-11 17:58:10.052533+00,2026-06-11 17:58:10.052533+00
